Dewar	Tower	Box	Cell	Field Number	Genus	Species	Country	Island	Province	Municipality	Barangay	Local Area Name	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12															
	A	1	H5	RMB 4193	Limnonectes	macrocephalus	Philippines	Luzon		Imugan																													
	A	1	H6	RMB 4238	Limnonectes	woodworthi	Philippines	Luzon		Palaui Isl																													
	A	1	H7	RMB 4247	Rana	luzonensis	Philippines	Luzon		Claveria																													
	A	1	H8	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	H9	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I1	RMB 4523	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I2	RMB 4192	Rana	luzonensis	Philippines	Luzon		Imugan																													
	A	1	I3	RMB 4280	Rana	luzonensis	Philippines	Luzon		Mt. Data																													
	A	1	I4	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I5	JAM 1712	Gekko	smithi						Gomisak																											
	A	1	I6	ACD 2914	Platymantis	dibanti	papua new guinea																																
	A	1	I7	JF 0037	Sphenomorphus	sp																																	
	A	1	I8	RMB 3405	Sphenomorphus	decipiens						Mt. Isarog																											
	A	1	I9	RMB 3438	Sphenomorphus	j. jagori						Mt. Isarog																											
	A	2	A1	RMB 4339	Platymantis	cf corrugatus	Philippines	Leyte 		Baybay																													
	A	2	A2	RMB 4347	Lycodon	aulincus capucinus	Philippines	Leyte 		Baybay																													
	A	2	A3	RMB 4325	Limnonectes	magnus	Philippines	Leyte 		Lake Danao																													
	A	2	A4	RMB 4388	Limnonectes	magnus	Philippines	Samar		Burauen																													
	A	2	A5	RMB 4351	Occidozyga	laevis	Philippines	Leyte 		Baybay																													
	A	2	A6	RMB 4319	Nictixalus	spinosus	Philippines	Leyte 		Lake Danao																													
	A	2	A7	RMB 4352	Occidozyga	laevis	Philippines	Leyte 		Baybay																													
	A	2	A8	ACD 1483	Platymantis	cf guntheri	Philippines	Leyte 		Lake Danao																													
	A	2	A9	RMB 4375	Limnonectes	magnus	Philippines	Samar		San Raphael																													
	A	2	B1	RMB 4314	Rana	grandocula	Philippines	Leyte 		Lake Danao																													
	A	2	B2	ACD 1478	Cyrtodactylus	sp	Philippines	Leyte 		Lake Danao																													
	A	2	B3	RMB 4353	Cyrtodactylus	agusanensis	Philippines	Leyte 		Baybay																													
	A	2	B4	RMB 4311	Limnonectes	leytensis	Philippines	Leyte 		Tacloban																													
	A	2	B5	RMB 4300	Rana	erythraea	Philippines	Leyte 		Tacloban																													
	A	2	B6	RMB 4335	Platymantis	rabori	Philippines	Leyte 		Lake Danao																													
	A	2	B7	RMB 4333	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	B8	RMB 4320	Nictixalus	spinosus	Philippines	Leyte 		Lake Danao																													
	A	2	B9	RMB 4312	Limnonectes	leytensis	Philippines	Leyte 		Tacloban																													
	A	2	C1	ACD 1495	Limnonectes	leytensis	Philippines	Leyte 		Baybay																													
	A	2	C2	RMB 4308	Polypedates	leucomystax	Philippines	Leyte 		Tacloban																													
	A	2	C3	ACD 1507	Platymantis	"""malagos"""	Philippines	Leyte 		Baybay																													
	A	2	C4	RMB 4310	Kalophrynus	pleurostigma	Philippines	Leyte 		Tacloban																													
	A	2	C5	RMB 4305	Rana	cancrivora	Philippines	Leyte 		Tacloban																													
	A	2	C6	RMB 4345	Rhacophorus	pardalis	Philippines	Leyte 		Baybay																													
	A	2	C7	ACD 1500	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	C8	RMB 4359	Limnonectes	magnus	Philippines	Leyte 		Baybay																													
	A	2	C9	RMB 4357	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	D1	ACD 1494	Limnonectes	leytensis	Philippines	Leyte 		Baybay																													
	A	2	D2	RMB 4325	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	D3	ACD 1504	Dendrelaphis	pictus	Philippines	Leyte 		Baybay																													
	A	2	D4	RMB 4355	Rana	grandocula	Philippines	Leyte 		Baybay																													
	A	2	D5	RMB 4349	Kalophrynus	pleurostigma	Philippines	Leyte 		Baybay																													
	A	2	D6	RMB 4358	Limnonectes	magnus	Philippines	Leyte 		Baybay																													
	A	2	D7	RMB 4323	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	D8	RMB 4348	Stegonotus	muelleri	Philippines	Leyte 		Baybay																													
	A	2	D9	RMB 4348	Stegonotus	muelleri	Philippines	Leyte 		Baybay																													
	A	2	E1	RMB 4342	Limnonectes	magnus	Philippines	Leyte 		Baybay																													
	A	2	E2	RMB 4357	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	E3	ACD 1503	Lycodon	aulincus capucinus	Philippines	Leyte 		Baybay																													
	A	2	E4	RMB 4299	Rana	erythraea	Philippines	Leyte 		Tacloban																													
	A	2	E5	RMB 4306	Rana	cancrivora	Philippines	Leyte 		Tacloban																													
	A	2	E6	RMB 4353	Cyrtodactylus	agusanensis	Philippines	Leyte 		Baybay																													
	A	2	E7	ACD 1500	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	E8	RMB 4343	Nictixalus	spinosus	Philippines	Leyte 		Baybay																													
	A	2	E9	RMB 4318	Occidozyga	laevis	Philippines	Leyte 		Lake Danao																													
	A	2	F1	RMB 4317	Occidozyga	laevis	Philippines	Leyte 		Lake Danao																													
	A	2	F2	RMB 4337	Platymantis	cf corrugatus	Philippines	Leyte 		Baybay																													
	A	2	F3	RMB 4326	Limnonectes	magnus	Philippines	Leyte 		Lake Danao																													
	A	2	F4	ACD 1493	Philautus	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	F5	RMB 4330	Lepidodactylus	herrei	Philippines	Leyte 		Lake Danao																													
	A	2	F6	RMB 4316	Rana	grandocula	Philippines	Leyte 		Lake Danao																													
	A	2	F7	RMB 4324	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	F8	ACD 1478	Cyrtodactylus	sp	Philippines	Leyte 		Lake Danao																													
	A	2	F9	RMB 4315	Rana	grandocula	Philippines	Leyte 		Lake Danao																													
	A	2	G1	RMB 4322	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	G2	RMB 4340	Platymantis	cf corrugatus	Philippines	Leyte 		Baybay																													
	A	2	G3	RMB 4331	Lepidodactylus	herrei	Philippines	Leyte 		Lake Danao																													
	A	2	G4	RMB 4334	Philautus	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	G5	ACD 1241	Hemidactylus		Philippines	Leyte 																															
	A	2	G6	ACD 1239	Platymantis	cf corrugatus	Philippines	Leyte 		Baybay																													
	A	2	G7	RMB 4396	Rana	albotuberculata	Philippines	Leyte 		Burauen																													
	A	2	G8	RMB 4356	Rana	grandocula	Philippines	Leyte 		Baybay																													
	A	2	G9	RMB 4378	Rana	grandocula	Philippines	Samar		San Raphael																													
	A	2	H1	RMB 4313	Rana	grandocula	Philippines	Leyte 		Lake Danao																													
	A	2	H2	ACD 1449	Rana	similis	Philippines	Palaui		Palaui																													
	A	2	H3	RMB 4386	Rana	grandocula	Philippines	Leyte 		Burauen																													
	A	2	H4	RMB 4254	Rana	similis	Philippines	Luzon		Claveria																													
	A	2	H5	ACD 1277	Rana	moellendorffi	Philippines	Palawan		Mt. Mantalingahan																													
	A	2	H6	RMB 4501	Rana	similis	Philippines	Luzon		Subic Bay																													
	A	2	H7	RMB 4396	Rana	grandocula	Philippines	Leyte 		Burauen																													
	A	2	H8	RMB 4287	Rana	similis	Philippines	Luzon		Mt. Palaypalay																													
	A	2	H9	no number	Ahaetulla	prasina	Philippines			"Palanan, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I1	no number	Cuora	amboinensis	Philippines			"Isabela, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I2	no number	Ahaetulla	?	Philippines			"Palanan, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I3	no number	Ahaetulla	prasina	Philippines			"Palanan, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I4	no number	Ahaetulla	prasina	Philippines			"Palanan, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I5	no number	Psammodynastes	pulverulentus	Philippines			"Palanan, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I6	no number	Snake	lycodon?	Philippines			"San Mariano, Isabela, Sierra Madre Mtn., Luzon Isl."																													
	A	2	I7	no number	Cuora	amboinensis	Philippines			"Barangay, Nassiping, Guttaran, Luzon Isl."																													
	A	2	I8	no number	Dendrelaphis	?	Philippines			"Palanan, Sierra Madre Mtn., Luson Isl."																													
	A	2	I9	EMPTY																																			
	A	3	A1	RMB 4075	Occidozyga	laevis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A2	RMB 4091	Cyrtodactylus	sp	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A3	RMB 4102	Gonocephalus	sophiae?	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A4	RMB 4095	Limnonectes 	woodworthi	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A5	RMB 4073	Platymantis	dorsalis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A6	RMB 4060	Platymantis	"""n.sp.1"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A7	RMB 4079	Platymantis	luzonensis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A8	RMB 4101	Boiga	dendrophilia	Philippines	Luzon		Quezon Nat. Park																													
	A	3	A9	RMB 4093	Gekko	sp	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B1	RMB 4094	Cyrtodactylus	sp	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B2	RMB 4074	Platymantis	dorsalis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B3	RMB 4098	Platymantis	corrugatus	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B4	RMB 4082	Platymantis	"""katipunorum"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B5	RMB 4083	Platymantis	cf luzonensis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B6	RMB 4071	Kaloula	kalingensis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B7	RMB 4081	Platymantis	dorsalis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B8	RMB 4101	Boiga	dendrophilia	Philippines	Luzon		Quezon Nat. Park																													
	A	3	B9	RMB 4076	Occidozyga	laevis	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C1	RMB 4064	Platymantis	"""n.sp.2"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C2	RMB 4103	Gonocephalus	sophiae?	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C3	RMB 4092	Limnonectes 	woodworthi	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C4	RMB 4068	Platymantis	"""n.sp.2"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C5	RMB 4086	Platymantis	"""katipunorum"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C6	RMB 4090	Gekko	sp	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C7	RMB 4066	Platymantis	"""n.sp.2"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C8	RMB 4061	Platymantis	"""n.sp.1"""	Philippines	Luzon		Quezon Nat. Park																													
	A	3	C9	EMPTY																																			
	A	3	D1	EMPTY																																			
	A	3	D2	EMPTY																																			
	A	3	D3	EMPTY																																			
	A	3	D4	EMPTY																																			
	A	3	D5	EMPTY																																			
	A	3	D6	EMPTY																																			
	A	3	D7	EMPTY																																			
	A	3	D8	EMPTY																																			
	A	3	D9	EMPTY																																			
	A	3	E1	EMPTY																																			
	A	3	E2	EMPTY																																			
	A	3	E3	EMPTY																																			
	A	3	E4	EMPTY																																			
	A	3	E5	EMPTY																																			
	A	3	E6	EMPTY																																			
	A	3	E7	EMPTY																																			
	A	3	E8	EMPTY																																			
	A	3	E9	EMPTY																																			
	A	3	F1	RMB 3782	Nictixalus	spinosus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F2	RMB 3790	Polypedates	leucomystax	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F3	RMB 3781	Platymantis	"""sp.no.1"""	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F4	RMB 3775	Platymantis	"""sp.no.2"""	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F5	ACD 1044	Limnonectes	parvus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F6	RMB 3788	Limnonectes	leytensis	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F7	RMB 3785	Platymantis	"""sp.no.2"""	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F8	RMB 3783	Philautus	leytensis?	Philippines	Mindanao		Malagos	Calinan																												
	A	3	F9	RMB 3803	Hemidactylus	frenatus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G1	RMB 3802	Lipinia		Philippines	Mindanao		Malagos	Calinan																												
	A	3	G2	RMB 3776	Limnonectes	parvus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G3	RMB 3780	Platymantis	"""sp.no.1"""	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G4	RMB 3794	Aplopetura	boa	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G5	RMB 3777	Limnonectes	parvus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G6	RMB 3798	Kalophrynus	pleurostigma	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G7	RMB 3791	Oxyrhabdion	modestum	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G8	RMB 3799	Oreophryne	nana?	Philippines	Mindanao		Malagos	Calinan																												
	A	3	G9	RMB 3793	Aplopetura	boa	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H1	RMB 3786	Platymantis	guntheri	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H2	RMB 3789	Megophrys	stejnegeri	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H3	RMB 3792	Bronchocela	cristatella	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H4	RMB 3777	Limnonectes	leytensis	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H5	ACD 1046	Limnonectes	magnus	Philippines	Mindanao		Malagos	Calinan																												
	A	3	H6	EMPTY																																			
	A	3	H7	EMPTY																																			
	A	3	H8	EMPTY																																			
	A	3	H9	EMPTY																																			
	A	3	I1	EMPTY																																			
	A	3	I2	EMPTY																																			
	A	3	I3	EMPTY																																			
	A	3	I4	EMPTY																																			
	A	3	I5	EMPTY																																			
	A	3	I6	EMPTY																																			
	A	3	I7	EMPTY																																			
	A	3	I8	EMPTY																																			
	A	3	I9	EMPTY																																			
	A	4	A1	ACD 1448	Rana	similis	Philippines	Luzon		Palaui Isl.																													
	A	4	A2	RMB 4253	Rana	vittigera	Philippines	Luzon		Claveria																													
	A	4	A3	ACD 1442	Bronchocela	cristatella	Philippines	Luzon		Guttaran																													
	A	4	A4	ACD 1442	Bronchocela	cristatella	Philippines	Luzon		Guttaran																													
	A	4	A5	RMB 4235	Rana	similis	Philippines	Luzon		Palaui Isl.																													
	A	4	A6	ACD 1447	Platymantis	"""palaui"" = cagayanensis"	Philippines	Luzon		Palaui Isl.																													
	A	4	A7	RMB 4252	Polypedates	leucomystax	Philippines	Luzon		Claveria																													
	A	4	A8	RMB 4268	Dendrelaphis	pictus	Philippines	Luzon		Padudpud																													
	A	4	A9	RMB 4235	Rana	similis	Philippines	Luzon		Palaui Isl.																													
	A	4	B1	ACD 1445	Gekko		Philippines	Luzon		Guttaran																													
	A	4	B2	RMB 4258	Platymantis	pygmaeus	Philippines	Luzon		Claveria																													
	A	4	B3	RMB 4267	Platymantis	"""seeyok"""	Philippines	Luzon		Pagudpud																													
	A	4	B4	RMB 4256	Platymantis	sp	Philippines	Luzon		Claveria																													
	A	4	B5	RMB 4236	Polypedates	leucomystax	Philippines	Luzon		Palaui Isl.																													
	A	4	B6	ACD 1459	Limnonectes	macrocephalus	Philippines	Luzon		Mahabnang Falls																													
	A	4	B7	RMB 4248	Rana	luzonensis	Philippines	Luzon		Claveria																													
	A	4	B8	RMB 4245	Limnonectes	macrocephalus	Philippines	Luzon		Claveria																													
	A	4	B9	ACD 1443	Platymantis	sp	Philippines	Luzon		Claveria																													
	A	4	C1	RMB 4262	Hemiphylodactylus	typus	Philippines	Luzon		Palaui Isl.																													
	A	4	C2	ACD 1452	Lamprolepis?		Philippines	Luzon		Palaui Isl.																													
	A	4	C3	ACD 1451	Rana	cancrivora	Philippines	Luzon		Palaui Isl.																													
	A	4	C4	RMB 4238	Limnonectes	cf woodworthi	Philippines	Luzon		Palaui Isl.																													
	A	4	C5	RMB 4251	Rana	similis	Philippines	Luzon		Claveria																													
	A	4	C6	RMB 4237	Polypedates	leucomystax	Philippines	Luzon		Palaui Isl.																													
	A	4	C7	RMB 1459	Rana	cf woodworthi	Philippines	Luzon		Palaui Isl.																													
	A	4	C8	RMB 4250	Rana	similis	Philippines	Luzon		Claveria																													
	A	4	C9	ACD 1454	Gekko		Philippines	Luzon		Palaui Isl.																													
	A	4	D1	ACD 1442	Hoplobatrachus	rugulosus	Philippines	Luzon		Guttaran																													
	A	4	D2	ACD 1455	Limnonectes	cf woodworthi	Philippines	Luzon		Claveria																													
	A	4	D3	ACD 816	Kaloula		Philippines	Luzon		Samil	Lucban																												
	A	4	D4	RMB 1904	Rana	erythraea	Philippines	Luzon		UP Los Banos																													
	A	4	D5	RMB 1906	Rana	erythraea	Philippines	Luzon		UP Los Banos																													
	A	4	D6	RMB 1910	Kaloula	picta	Philippines	Luzon		UP Los Banos																													
	A	4	D7	RMB 1887	Kaloula	kalingensis	Philippines	Luzon		Balbalan																													
	A	4	D8	ACD 851	Rana		Philippines	Luzon		Samil	Lucban																												
	A	4	D9	ACD 786	Kaloula	conjuncta	Philippines	Luzon		Samil	Lucban																												
	A	4	E1	RMB 3075	Rana	sanguinea	Philippines	Palawan		Brooke's Point																													
	A	4	E2	ACD 1043	Nictixalus	spinosa																																	
	A	4	E3	ACD 835	Kaloula		Philippines	Luzon		Samil	Lucban																												
	A	4	E4	RMB 3817	Rana	luzonensis	Philippines	Luzon		Mt. Malinao																													
	A	4	E5	ACD 757	Kaloula		Philippines	Luzon		Balbalan																													
	A	4	E6	ACD 837	Kaloula		Philippines	Luzon		Samil	Lucban																												
	A	4	E7	RMB 4271	Occidozyga	laevis	Philippines	Luzon		Pagudpud																													
	A	4	E8	ACD 1463	Occidozyga	laevis	Philippines	Luzon		Pagudpud																													
	A	4	E9	ACD 1469	Rhacophorus	pardalis	Philippines	Luzon		Pagudpud																													
	A	4	F1	ACD 1204	Sphenomorphus	steerei	Philippines	Luzon		Initao																													
	A	4	F2	no number	Achrochordus	granulatus	Philippines	Luzon		Balayen Bay																													
	A	4	F3	ACD 1404	Brachymeles		Philippines	Mindoro		Sablayan																													
	A	4	F4	ACD 1379	Limnonectes	acanthi	Philippines	Mindoro		Malatgao																													
	A	4	F5	ACD 1399	Limnonectes	acanthi	Philippines	Mindoro		Sablayan																													
	A	4	F6	ACD 1117	Hemidactylus 	stejnegeri	Philippines	Luzon		Angat Dam																													
	A	4	F7	ACD 1290	Eutropis		Philippines	Palawan		victoria																													
	A	4	F8	ACD 1226	Hemiphylodactylus	typus	Philippines	Luzon		Guinayangan																													
	A	4	F9	ACD 1205	Hemidactylus 																																		
	A	4	G1	ACD 1230	Hemidactylus 		Philippines	Luzon		Guinayangan																													
	A	4	G2	ACD 1125	Hemidactylus 	brooki	Philippines	Luzon		Angat Dam																													
	A	4	G3	no number	Achrochordus	granulatus	Philippines	Luzon		Balayen Bay																													
	A	4	G4	no number	Achrochordus	granulatus	Philippines	Luzon		Balayen Bay																													
	A	4	G5	ACD 1237	Brachymeles		Philippines	Luzon		Cavite	Mt. Palaypalay																												
	A	4	G6	ACD 1203	Sphenomorphus	steerei	Philippines	Luzon		Imitao																													
	A	4	G7	ACD 1113	Platymantis		Philippines	Luzon		Angat Dam																													
	A	4	G8	ACD 1117	Hemidactylus 	stejnegeri	Philippines	Luzon		Angat Dam																													
	A	4	G9	ACD 1218	Rana	cancrivora	Philippines	Luzon		Guinayangan																													
	A	4	H1	ACD 1112	Platymantis		Philippines	Luzon		Angat Dam																													
	A	4	H2	ACD 813			Philippines	Luzon		Samil	Lucban																												
	A	4	H3	ACD 1235	Gekko		Philippines	Luzon		Cavite	Mt. Palaypalay																												
	A	4	H4	ACD 1224	Hemiphylodactylus	typus	Philippines	Luzon		Guinayangan																													
	A	4	H5	ACD 1202	Brachymeles		Philippines	Luzon		Initao																													
	A	4	H6	ACD 1227	Hemiphylodactylus	typus	Philippines	Luzon		Guinayangan																													
	A	4	H7	ACD 1236	Brachymeles		Philippines	Luzon		Cavite	Mt. Palaypalay																												
	A	4	H8	ACD 1216	Rana	cancrivora	Philippines	Luzon		Guinayangan																													
	A	4	H9	no number	Achrochordus	granulatus	Philippines	Luzon		Balayen Bay																													
	A	4	I1	ACD 1225	Hemiphylodactylus	typus	Philippines	Luzon		Guinayangan																													
	A	4	I2	RMB 4278	Cerberus	rynchops	Philippines	Luzon		Palaui Isl.																													
	A	4	I3	RMB 4274	Rhacophorus	pardalis	Philippines	Luzon		Pagudpud																													
	A	4	I4	ACD 1464	Rhacophorus	pardalis	Philippines	Luzon		Pagudpud																													
